;Latitude;Longitude;VS30
63;41.0280556;41.0280556;469.928314
64;41.0284722;41.0284722;390.270111
65;41.0287222;41.0287222;338.293976
66;41.02775;41.02775;792.020813
67;41.0280833;41.0280833;686.697266
68;41.0268056;41.0268056;603.465332
69;41.0274444;41.0274444;716.476563
70;41.02575;41.02575;822.229004
71;41.0184722;41.0184722;1074.86182
72;41.0184722;41.0184722;1021.47772
73;41.0156111;41.0156111;557.126221
74;41.0175;41.0175;584.008789
75;41.01625;41.01625;722.339478
76;41.0186944;41.0186944;821.089722
77;41.0178889;41.0178889;402.490784
78;41.0165;41.0165;760.664917
79;41.01675;41.01675;581.427368
80;41.0144722;41.0144722;554.513367
81;41.0148333;41.0148333;1007.63397
82;41.0161389;41.0161389;1086.85693
83;41.0148611;41.0148611;835.845337
84;41.0146667;41.0146667;967.096069
85;41.0146667;41.0146667;1211.41516
86;41.0145;41.0145;501.64
87;41.0075;41.0075;548.441589
88;41.0060556;41.0060556;672.675049
89;41.0055556;41.0055556;482.006073
90;41.0054444;41.0054444;1255.96338
91;41.0063333;41.0063333;1473.00305
92;41.0045;41.0045;1473.34912
93;41.0047222;41.0047222;1366.66675
94;41.0037778;41.0037778;1365.96814
95;41.0039722;41.0039722;940.532288
96;41.0029444;41.0029444;758.432861
